upuq  u-'puq
tapşurğuçiniñ  tap-Sur-Gu-tSI-'nIN
teminliniş  te-mIn-LI-'nIS
sommisiğa  som-mI-sI-'Ga
udunniñ  u-dun-'nIN
köktatlar  k@'k-tat-'Lar
mehkime  meh-kI-'me
qoro  qo-'ro
teripimizmu  te-rI-pI-mIz-'mu
yazmañlar  jaz-maN-'Lar
diyiş  dI-'jIS
külgenlikidin  kyL-gen-LI-kI-'dIn
téliqip  t@-LI-'qIp
veziyettin  ve-zI-jet-'tIn
hökümitimiz  h@'-ky-mI-tI-'mIz
moñğuliyeniñ  moN-Gu-LI-je-'nIN
tallişi  taL-LI-'SI
devalaşquçilarniñ  de-va-LaS-qu-tSI-Lar-'nIN
iltimasiğa  IL-tI-ma-sI-'Ga
sitatiskisidin  sI-ta-tIs-kI-sI-'dIn
şehirimizde  Se-hI-rI-mIz-'de
çiqiralişiñiz  tSI-qI-ra-LI-SI-'NIz
türni  tyr-'nI
tapalişiñiz  ta-pa-LI-SI-'NIz
açalişiñiz  a-tSa-LI-SI-'NIz
dairidiki  da-I-rI-dI-'kI
igilikniñ  I-gI-LIk-'nIN
işlitelişiñiz  IS-LI-te-LI-SI-'NIz
vişnyankañnimu  vISnjankaNnImu
lintiyenniñ  LIn-tI-jen--nnI-'N
ğemxurluq  Gem-xur-'Luq
siñgenlikini  sIN-gen-LI-kI-'nI
ğerbmu  Gerb-'mu
cuñguluqlarniñ  dZuN-gu-Luq-Lar-'nIN
xunükleştürüvaldi  xu-nyk-LeS-ty-ry-vaL-'dI
kurd  kurd
iraqni  I-raq-'nI
bölüş  b@'-'LyS
vitaminni  vI-ta-mIn-'nI
toluqliğanda  to-Luq-LI-Gan-'da
qérişni  q@-rIS-'nI
kiçiktürgili  kI-tSIk-tyr-gI-'LI
rakniñ  rak-'nIN
vitaminniñ  vI-ta-mIn-'nIN
yétiliş  j@-tI-'LIS
firminti  fIr-mIn-'tI
oksidlinişqa  ok-sId-LI-nIS-'qa
maddidur  mad-dI-'dur
qérişniñ  q@-rIS-'nIN
iştihani  IS-tI-ha-'nI
ayalliq  a-jaL-'LIq
kötürüşte  k@'-ty-ryS-'te
diabit  dI-a-'bIt
qatarliqlarnimu  qa-tar-LIq-Lar-nI-'mu
uyğurniñ  uj-Gur-'nIN
karametliri  ka-ra-met-LI-'rI
muradimni  mu-ra-dIm-'nI
misrağa  mIs-ra-'Ga
uyuşqaq  u-juS-'qaq
neslimiz  nes-LI-'mIz
güllinidu  gyL-LI-nI-'du
suğurtiğa  su-Gur-tI-'Ga
şéiriyitimizdin  S@-I-rI-jI-tI-mIz-'dIn
éliyof  @-LI-'jof
şairlarğa  Sa-Ir-Lar-'Ga
buğda  buG-'da
abdullada  ab-duL-La-'da
şéiriyetniñ  S@-I-rI-jet-'nIN
gevdilikrek  gev-dI-LIk-'rek
insanşunas  In-san-Su-'nas
arxéolog  ar-x@-o-'Log
két  k@t
siteyn  sIt-'ejn
tipini  tI-pI-'nI
irqi  Ir-'qI
irqidin  Ir-qI-'dIn
meñzi  meN-'zI
anardek  a-nar-'dek
kökergen  k@'-ker-'gen
pokvay  pok-'vaj
yağliqqa  jaG-LIq-'qa
meşke  meS-'ke
qaqlidi  qaq-LI-'dI
pakit  pa-'kIt
sunğanda  sun-Gan-'da
dégenlerni  d@-gen-Ler-'nI
qilsila  qIL-sI-'La
qelemni  qe-Lem-'nI
xalmet  xaL-'met
titrigen  tIt-rI-'gen
başmaltiqini  baS-maL-tI-qI-'nI
qutidiki  qu-tI-dI-'kI
suruxqa  su-rux-'qa
paturdi  pa-tur-'dI
höccettiki  h@'dZ-dZet-tI-'kI
ötküzüşçanliqi  @'t-ky-zyS-tSan-LI-'qI
oksidsizlandurğuçi  ok-sId-sIz-Lan-dur-Gu-'tSI
hdro  hdro
sulfid  suL-'fId
valintliq  vaLIntLIq
tömür'ioni  t@'-myr-'I-o-'nI
yiğilip  jI-GI-'LIp
béqivélinğuçilarniñ  b@-qI-v@-LIn-Gu-tSI-Lar-'nIN
béqilişiğa  b@-qI-LI-SI-'Ga
pisxologiye  pIs-xo-Lo-gI-'je
ilgirlidi  IL-gIr-LI-'dI
deversañlarbolidu  de-ver-saN-Lar-bo-LI-'du
perhatcan  per-hat-'dZan
qerzim  qer-'zIm
qalidikenmen  qa-LI-dI-ken-'men
dégini  d@-gI-'nI
baqtim  baq-'tIm
qerziñ  qer-'zIN
avam  a-'vam
ceñgahlirida  dZeN-gah-LI-rI-'da
uçrişiniñ  utS-rI-SI-'nIN
köpiyivatqanliqiğa  k@'-pI-jI-vat-qan-LI-qI-'Ga
bölidiken  b@'-LI-dI-'ken
tilliriğa  tIL-LI-rI-'Ga
metbuatlirida  met-bu-at-LI-rI-'da
simtson  sImtson
vastiçlik  vas-tItS-'LIk
saqlinivatqan  saq-LI-nI-vat-'qan
bağçisini  baG-tSI-sI-'nI
atal  a-'taL
qiyinçiliqqa  qI-jIn-tSI-LIq-'qa
qonuptu  qo-nup-'tu
tilliri  tIL-LI-'rI
közlirige  k@'z-LI-rI-'ge
söyüptu  s@'-jyp-'tu
cismini  dZIs-mI-'nI
qilalmaptu  qI-LaL-map-'tu
ilkige  IL-kI-'ge
kiyinmu  kI-jIn-'mu
yürüşni  jy-ryS-'nI
muşerep  mu-Se-'rep
xoşnisi  xoS-nI-'sI
körmidi  k@'r-mI-'dI
yénimda  j@-nIm-'da
ali  a-'LI
yölinivéliştin  j@'-LI-nI-v@-LIS-'tIn
qutulğandila  qu-tuL-Gan-dI-'La
hasini  ha-sI-'nI
taşlivetkendila  taS-LI-vet-ken-dI-'La
muveppiqiyet  mu-vep-pI-qI-'jet
qazanğili  qa-zan-GI-'LI
şüşöxuñ  Sy-S@'-'xuN
dininiñ  dI-nI-'nIN
eqidisi  e-qI-dI-'sI
ziyaliyliriniñ  zI-ja-LIj-LI-rI-'nIN
özgertişi  @'z-ger-tI-'SI
exlaqni  ex-Laq-'nI
ğayiside  Ga-jI-sI-'de
iskiripkiñizniñ  Is-kI-rIp-kI-NIz-'nIN
qaymaqqa  qaj-maq-'qa
iskiripkiniñkidin  Is-kI-rIp-kI-nIN-kI-'dIn
pereñ  pe-'reN
bétiniñ  b@-tI-'nIN
bétige  b@-tI-'ge
cuñyüy  dZuN-'jyj
çénşöcav  tS@n-S@'-'dZav
hésabi  h@-sa-'bI
paydiliniştin  paj-dI-LI-nIS-'tIn
qebrisidin  qeb-rI-sI-'dIn
qézip  q@-'zIp
cesetlerde  dZe-set-Ler-'de
séstimisidiki  s@s-tI-mI-sI-dI-'kI
alahidilikliri  a-La-hI-dI-LIk-LI-'rI
gevdilengen  gev-dI-Len-'gen
arimizda  a-rI-mIz-'da
resmi  res-'mI
muhakimisi  mu-ha-kI-mI-'sI
çiqiralaydu  tSI-qI-ra-Laj-'du
aldin'ala  aL-dIn-'a-'La
tavuzniñ  ta-vuz-'nIN
yuqirqidek  ju-qIr-qI-'dek
terepliri  te-rep-LI-'rI
sürüşni  sy-ryS-'nI
hiciriyiniñ  hI-dZI-rI-jI-'nIN
camadiyel  dZa-ma-dI-'jeL
ayliriniñ  aj-LI-rI-'nIN
tüzütüp  ty-zy-'typ
axiriniñ  a-xI-rI-'nIN
düşenbide  dy-Sen-bI-'de
guenluñ  gu-en-'LuN
guruhiğa  gu-ru-hI-'Ga
egeşmeydiğan  e-geS-mej-dI-'Gan
bolivaldi  bo-LI-vaL-'dI
qaçurğanliqtur  qa-tSur-Gan-LIq-'tur
dairilik  da-I-rI-'LIk
mizaciğa  mI-za-dZI-'Ga
tibabetçilik  tI-ba-bet-tSI-'LIk
sortniñ  sortnIN
danliri  dan-LI-'rI
danisi  da-nI-'sI
tuxumsiman  tu-xum-sI-'man
danisiniñ  da-nI-sI-'nIN
çoñliriniñ  tSoN-LI-rI-'nIN
üçturpanlarda  ytS-tur-pan-Lar-'da
özimiz  @'-zI-'mIz
axirisida  a-xI-rI-sI-'da
davut  da-'vut
düñxuañ  dyN-xu-'aN
lencuğa  Len-dZu-'Ga
sodigerlerdin  so-dI-ger-Ler-'dIn
ilgirilişimiz  IL-gI-rI-LI-SI-'mIz
işğaliyet  IS-Ga-LI-'jet
tupriqimizda  tup-rI-qI-mIz-'da
işlişimiz  IS-LI-SI-'mIz
tartivalalaymiz  tar-tI-va-La-Laj-'mIz
birsini  bIr-sI-'nI
mulazimétirniñ  mu-La-zI-m@-tIr-'nIN
çikiniş  tSI-kI-'nIS
türiniñ  ty-rI-'nIN
qalğinini  qaL-GI-nI-'nI
yaylaqlirida  jaj-Laq-LI-rI-'da
siyasy  sIj-'asj
tağliri  taG-LI-'rI
nayman  naj-'man
boysundurğandin  boj-sun-dur-Gan-'dIn
nezerni  ne-zer-'nI
yéraq  j@-'raq
quçu  qu-'tSu
textide  tex-tI-'de
barçuq  bar-'tSuq
idiqut  I-dI-'qut
élidin  @-LI-'dIn
avistraliyige  av-Ist-ra-LI-jI-'ge
ailidin  a-I-LI-'dIn
melbourne  meL-bo-ur-'ne
pertih  per-'tIh
sidniyda  sId-nIj-'da
yaşqiçe  jaS-qI-'tSe
ösmürlerni  @'s-myr-Ler-'nI
nopusluq  no-pus-'Luq
camaiti  dZa-ma-I-'tI
siydniydiki  sIjdnIjdIkI
yurtliridila  jurt-LI-rI-dI--Id-'ILa
doktorlar  dok-tor-'Lar
orunlirida  o-run-LI-rI-'da
işlimekte  IS-LI-mek-'te
makandin  ma-kan-'dIn
gepniñ  gep-'nIN
poskallisini  pos-kaL-LI-sI-'nI
ruxsarimiz  rux-sa-rI-'mIz
körüngini  k@'-ryn-gI-'nI
hemmide  hem-mI-'de
menpeetpereslik  men-pe-et-pe-res-'LIk
zamanimizda  za-ma-nI-mIz-'da
étiqadsizliq  @-tI-qad-sIz-'LIq
exlaqsizliq  ex-Laq-sIz-'LIq
sanap  sa-'nap
tügetküsiz  ty-get-ky-'sIz
illetler  IL-Let-'Ler
dunyarimiz  dun-ja-rI-'mIz
pitlar  pIt-'Lar
mijildap  mI-ZIL-'dap
köpüşüş  k@'-py-'SyS
qevitiniñ  qe-vI-tI-'nIN
hüceyrisi  hy-dZej-rI-'sI
hüceyrige  hy-dZej-rI-'ge
buluñluq  bu-LuN-'Luq
uvaq  u-'vaq
telimatliriğa  te-LI-mat-LI-rI-'Ga
ğijduvani  GIZ-du-va-'nI
éqimni  @-qIm-'nI
programmida  prog-ram-mI-'da
qoyğuçilarniñ  qoj-Gu-tSI-Lar-'nIN
arzusini  ar-zu-sI-'nI
qanduridiken  qan-du-rI-dI-'ken
bacniñ  badZ-'nIN
tayinidiğini  ta-jI-nI-dI-GI-'nI
qaidilikliki  qa-I-dI-LIk-LI-'kI
févraldiki  f@v-raL-dI-'kI
simfoniye  sIm-fo-nI-'je
london  Lon-'don
énglandniñ  @ngLandnIN
midlisbroda  mId-LIsb-ro-'da
en'eniviy  en-'e-nI-'vIj
muzikiliri  mu-zI-kI-LI-'rI
naxşilirini  nax-SI-LI-rI-'nI
orundapla  o-run-dap-'La
muzikilirini  mu-zI-kI-LI-rI-'nI
orundaydiken  o-run-daj-dI-'ken
seveplik  se-vep-'LIk
zihrullamğa  zIh-ruL-Lam-'Ga
qehirmanliq  qe-hIr-man-'LIq
ordini  or-dI-'nI
qalğanliriğa  qaL-Gan-LI-rI-'Ga
bahadirliq  ba-ha-dIr-'LIq
murasimimu  mu-ra-sI-mI-'mu
ötküzilidu  @'t-ky-zI-LI-'du
yuenşavmu  ju-en-Sav-'mu
ciyeni  dZI-je-'nI
qelemdar  qe-Lem-'dar
elemdar  e-Lem-'dar
mensepdarliri  men-sep-dar-LI-'rI
sehyun  seh-'jun
söygüsi  s@'j-gy-'sI
heriketniñ  he-rI-ket-'nIN
himayiçiliri  hI-ma-jI-tSI-LI-'rI
ismidiki  Is-mI-dI-'kI
olturuşlar  oL-tu-ruS-'Lar
toplinatti  top-LI-nat-'tI
pelestindiki  pe-Les-tIn-dI-'kI
sanaetçi  sa-na-et-'tSI
yehudiylarğa  je-hu-dIj-Lar-'Ga
teşkilatqa  teS-kI-Lat-'qa
yardemçiler  jar-dem-tSI-'Ler
igileydiğan  I-gI-Lej-dI-'Gan
reqip  re-'qIp
çiqidiğanliqniñ  tSI-qI-dI-Gan-LIq-'nIN
teştikide  teS-tI-kI-'de
ösüvatqan  @'-sy-vat-'qan
tozimas  to-zI-'mas
kainat  ka-I-'nat
qizliriniñ  qIz-LI-rI-'nIN
çimen  tSI-'men
doppilirini  dop-pI-LI-rI-'nI
sayahetçilerge  sa-ja-het-tSI-Ler-'ge
muhebbitimizniñ  mu-heb-bI-tI-mIz-'nIN
bilsemmu  bIL-sem-'mu
yandurmiğim  jan-dur-mI-'GIm
hésssyatniñ  h@sssjatnIN
mükemmellikke  my-kem-meL-LIk--'LIkke
çidişalmaymiz  tSI-dI-SaL-maj-'mIz
heqiqi  he-qI-'qI
béğişlişi  b@-GIS-LI-'SI
étişi  @-tI-'SI
menzilimiz  men-zI-LI-'mIz
qayan  qa-'jan
eslimilerni  es-LI-mI-Ler-'nI
qaldurğum  qaL-dur-'Gum
anatoliyiniñ  a-na-to-LI-jI-'nIN
odémiş  o-d@-'mIS
kurusqa  ku-rus-'qa
şuğullanğudek  Su-GuL-Lan-Gu-'dek
iqtidariñizniñ  Iq-tI-da-rI-NIz-'nIN
oyliniñ  oj-LI-'nIN
cohansborgdiki  dZohansborgdIkI
şitabi  SI-ta-'bI
qilinmaydiğan  qI-LIn-maj-dI-'Gan
vostér  vos-'t@r
balthazar  baLt-ha-'zar
cohannes  dZo-han-'nes
vorsterniñ  vorsternIN
vostérniñ  vos-t@r-n-'IN
şapaiti  Sa-pa-I-'tI
tüpeylidinla  ty-pej-LI-dIn-'La
ulğiyip  uL-GI-'jIp
bügünkidek  by-gyn-kI-'dek
qamilip  qa-mI-'LIp
vahalenki  va-ha-Len-'kI
qalğanlarniñ  qaL-Gan-Lar-'nIN
kételigen  k@-te-LI-'gen
meblex  meb-'Lex
qurdum  qur-'dum
yasaşta  ja-saS-'ta
gavziban  gav-zI-'ban
barenci  ba-ren-'dZI
buya  bu-'ja
ustiquddus  us-tI-qud-'dus
firsiyavuşan  fIr-sI-ja-vu-'San
bidiyan  bI-dI-'jan
şahtere  Sah-te-'re
aqlanğan  aq-Lan-'Gan
bix  bIx
serpistan  ser-pIs-'tan
oqutmaqçi  o-qut-maq-'tSI
axunğa  a-xun-'Ga
ayallarda  a-jaL-Lar-'da
osma  os-'ma
sürme  syr-'me
adetliri  a-det-LI-'rI
kuvadrat  ku-vad-'rat
koriyiliklerge  ko-rI-jI-LIk-Ler-'ge
toxtimaydu  tox-tI-maj-'du
siolda  sI-oL-'da
kişiniñla  kI-SI-nIN-'La
qalğanliri  qaL-Gan-LI-'rI
olturidiken  oL-tu-rI-dI-'ken
öylerniñ  @'j-Ler-'nIN
öydimu  @'j-dI-'mu
cidili  dZI-dI-'LI
bésiqmay  b@-sIq-'maj
turaqni  tu-raq-'nI
muş  muS
hoylidiki  hoj-LI-dI-'kI
öyler  @'j-'Ler
işxanilar  IS-xa-nI-'Lar
korpus  kor-'pus
vecihdin  ve-dZIh-'dIn
aymaqlarniñ  aj-maq-Lar-'nIN
aymaqliri  aj-maq-LI-'rI
işlepçiqarğuçiniñ  IS-Lep-tSI-qar-Gu-tSI-'nIN
yekke  jek-'ke
işlepçiqarğuçi  IS-Lep-tSI-qar-Gu-'tSI
udulumdiki  u-du-Lum-dI-'kI
safağa  sa-fa-'Ga
lömmide  L@'m-mI-'de
orunlaşturuşi  o-run-LaS-tu-ru-'SI
yetküzimen  jet-ky-zI-'men
somkisidin  som-kI-sI-'dIn
qilmaqçidek  qIL-maq-tSI-'dek
qeğezniñ  qe-Gez-'nIN
orğaq  or-'Gaq
bolqiliq  boL-qI-'LIq
gélini  g@-LI-'nI
salapet  sa-La-'pet
nezerige  ne-ze-rI-'ge
göherni  g@'-her-'nI
çaqnatquzuş  tSaq-nat-qu-'zuS
östürdi  @'s-tyr-'dI
meşhedte  meS-hed-'te
logika  Lo-gI-'ka
penlerni  pen-Ler-'nI
üginidu  y-gI-nI-'du
pirdevsi  pIr-dev-'sI
seidi  se-I-'dI
nizami  nI-za-'mI
xusrav  xus-'rav
dihlevi  dIh-Le-'vI
dastanlirini  das-tan-LI-rI-'nI
kilassikliri  kI-Las-sIk-LI-'rI
atayi  a-ta-'jI
lotfi  Lot-'fI
sekkakiniñ  sek-ka-kI-'nIN
yüzlinişidin  jyz-LI-nI-SI-'dIn
tesirlinidu  te-sIr-LI-nI-'du
elişirniñ  e-LI-SIr-'nIN
camida  dZa-mI-'da
hedislirini  he-dIs-LI-rI-'nI
qoğdidi  qoG-dI-'dI
pişqedemler  pIS-qe-dem-'Ler
selef  se-'Lef
salihlar  sa-LIh-'Lar
sehiyhler  sehIjhLer
melumatliq  me-Lu-mat-'LIq
érini  @-rI-'nI
qedirleşnimu  qe-dIr-LeS-nI-'mu
yoldişi  joL-dI-'SI
tépivélişidin  t@-pI-v@-LI-SI-'dIn
ensirimemsiz  en-sI-rI-mem-'sIz
doulét  do-u-'L@t
olimpikqa  o-LIm-pIk-'qa
özüñniñ  @'-zyN-'nIN
igeñnimu  I-geN-nI-'mu
tonumisañ  to-nu-mI-'saN
hayvandin  haj-van-'dIn
perqiñ  per-'qIN
siniñ  sI-'nIN
içidiğiniñni  I-tSI-dI-GI-nIN-'nI
bolamti  bo-Lam-'tI
yarattim  ja-rat-'tIm
yaralmişiñ  ja-raL-mI-'SIN
özüñdin  @'-zyN-'dIn
yaşimisimu  ja-SI-mI-sI-'mu
qoşniliri  qoS-nI-LI-'rI
tériydiken  t@-rIj-dI-'ken
sévet  s@-'vet
kolivalidiken  ko-LI-va-LI-dI-'ken
mezgilniñ  mez-gIL-'nIN
naxşiçisi  nax-SI-tSI-'sI
merdikar  mer-dI-'kar
ötkerme  @'t-ker-'me
qarğa  qar-'Ga
karnay  kar-'naj
déyilip  d@-jI-'LIp
zapaslaştin  za-pas-LaS-'tIn
siğdivalmisiñiz  sIG-dI-vaL-mI-sI-'NIz
sorişiğa  so-rI-SI-'Ga
paxtek  pax-'tek
yağduruptu  jaG-du-rup-'tu
şéxida  S@-xI-'da
xotunlarniñ  xo-tun-Lar-'nIN
añlivaldim  aN-LI-vaL-'dIm
paxtekniñ  pax-tek-'nIN
bilimizki  bI-LI-mIz-'kI
hiçkimdin  hItS-kIm-'dIn
qorqmaymen  qorqmajmen
hemmimizni  hem-mI-mIz--'znI
haqaretlep  ha-qa-ret-'Lep
köziñizge  k@'-zI-NIz-'ge
ilmaysiz  IL-maj-'sIz
ğidiñ  GI-'dIN
pidiñmu  pI-dIN-'mu
qilalmaysiz  qI-LaL-maj-'sIz
xéfen  x@-'fen
ciñğa  dZIN-'Ga
méhmanxaniğa  m@h-man-xa-nI-'Ga
burğilaş  bur-GI-'LaS
supisidin  su-pI-sI-'dIn
tuğuluşimdinla  tu-Gu-Lu-SIm-dIn-'La
micezim  mI-dZe-'zIm
şundaqken  Sun-daq-'ken
bermeslikmu  ber-mes-LIk-'mu
yerşaridiki  jer-Sa-rI-dI-'kI
amilliri  a-mIL-LI-'rI
tozañlarniñ  to-zaN-Lar-'nIN
körüşimizge  k@'-ry-SI-mIz-'ge
boşluqiğa  boS-Lu-qI-'Ga
téléskop  t@-L@s-'kop
oylavatimiz  oj-La-va-tI-'mIz
optékiliq  op-t@-kI-'LIq
téléskoplar  t@-L@s-kop-'Lar
musapilarni  mu-sa-pI-Lar-'nI
téléskopniñ  t@-L@s-kop-'nIN
téléskopni  t@-L@s-kop-'nI
işlettuq  IS-Let-'tuq
turivatimiz  tu-rI-va-tI-'mIz
vetinim  ve-tI-'nIm
zéminda  z@-mIn-'da
zéminniñ  z@-mIn-'nIN
nozugum  no-zu-'gum
mayimxan  ma-jIm-'xan
gülemxan  gy-Lem-'xan
rizvangüldek  rIz-van-gyL-'dek
namimu  na-mI-'mu
atiğanlarniñ  a-tI-Gan-Lar-'nIN
sulaymanofdek  su-Laj-ma-nof-'dek
muesseliri  mu-es-se-LI-'rI
téxnikisiğa  t@x-nI-kI-sI-'Ga
qadiri  qa-dI-'rI
bayqaş  baj-'qaS
milletlik  mIL-Let-'LIk
tivipi  tI-vI-'pI
rétséplirida  r@t-s@p-LI-rI-'da
pilav  pI-'Lav
qildurayli  qIL-du-raj-'LI
pakliq  pak-'LIq
çiriklikke  tSI-rIk-LIk-'ke
kürişi  ky-rI-'SI
şérikleşküçiler  S@-rIk-LeS-ky-tSI-'Ler
qollinilidiğan  qoL-LI-nI-LI-dI-'Gan
şekildur  Se-kIL-'dur
qutubluq  qu-tub-'Luq
qurulma  qu-ruL-'ma
nişanlanğan  nI-San-Lan-'Gan
muskulğa  mus-kuL-'Ga
qurulmidiki  qu-ruL-mI-dI-'kI
programmisi  prog-ram-mI-'sI
bilekniñ  bI-Lek-'nIN
qutubini  qu-tu-bI-'nI
sozuş  so-'zuS
heriketlerni  he-rI-ket-Ler-'nI
hacitidin  ha-dZI-tI-'dIn
çiqalaydiğan  tSI-qa-Laj-dI-'Gan
pozitsiyidiki  po-zIt-sI-jI-dI-'kI
buruluş  bu-ru-'LuS
kiriştiki  kI-rIS-tI-'kI
çeklimisini  tSek-LI-mI-sI-'nI
boşitişni  bo-SI-tIS-'nI
sürüşi  sy-ry-'SI
tirişçanken  tI-rIS-tSan-'ken
hiç  hItS
yehudiğa  je-hu-dI-'Ga
menge  men-'ge
kötüridiğan  k@'-ty-rI-dI-'Gan
qurğaqçiliqqa  qur-Gaq-tSI-LIq-'qa
hökümetlerniñ  h@'-ky-met-Ler-'nIN
segeklik  se-gek-'LIk
sülh  syLh
çaqirdi  tSa-qIr-'dI
lüyvañ  Lyj-'vaN
alteinçi  aL-te-In-'tSI
lyañcuni  LjaN-dZu-'nI
hakimiyitini  ha-kI-mI-jI-tI-'nI
qurğandin  qur-Gan-'dIn
lyañcuda  LjaN-dZu-'da
erbablirimizniñ  er-bab-LI-rI-mIz-'nIN
héliqidek  h@-LI-qI-'dek
erbablardin  er-bab-Lar-'dIn
qétimqisi  q@-tIm-qI-'sI
méylenfañ  m@j-Len-'faN
vénéra  v@-n@-'ra
gevdilendürdi  gev-dI-Len-dyr-'dI
zühel  zy-'heL
satoran  sa-to-'ran
yultuz  juL-'tuz
türkümini  tyr-ky-mI-'nI
aqar  a-'qar
çille  tSIL-'Le
iyulniñ  I-juL-'nIN
mezgili  mez-gI-'LI
tomuzniñ  to-muz-'nIN
qaytişqa  qaj-tIS-'qa
başliğanliqidin  baS-LI-Gan-LI-qI-'dIn
yultuzi  juL-tu-'zI
tuğsa  tuG-'sa
qaraşidu  qa-ra-SI-'du
şyavruniñ  Sjav-ru-'nIN
milenginiçe  mI-Len-gI-nI-'tSe
yiqilğanliqini  jI-qIL-Gan-LI-qI-'nI
şyavru  Sjav-'ru
éñrap  @N-'rap
añlitalmidi  aN-LI-taL-mI-'dI
tatilap  ta-tI-'Lap
ilinişqan  I-LI-nIS-'qan
yéqinlaşmaqçi  j@-qIn-LaS-maq-'tSI
unini  u-nI-'nI
bolkiğa  boL-kI-'Ga
yimekliki  jI-mek-LI-'kI
éritme  @-rIt-'me
sélişturma  s@-LIS-tur-'ma
éritminiñ  @-rIt-mI-'nIN
herqaysisidin  her-qaj-sI-sI-'dIn
mikrolétir  mIk-ro-L@-'tIr
yoruqluqta  jo-ruq-Luq-'ta
sipktorini  sIpk-to-rI-'nI
esvabğa  es-vab-'Ga
kirgüzimiz  kIr-gy-zI-'mIz
éritmilerdiki  @-rIt-mI-Ler-dI-'kI
kislatasiniñ  kIs-La-ta-sI-'nIN
yarisun  ja-rI-'sun
darin  da-'rIn
atalğu  a-taL-'Gu
kirgüzüpla  kIr-gy-zyp-'La
seltenetlik  seL-te-net-'LIk
hösünmu  h@'-syn-'mu
kirgüzidu  kIr-gy-zI-'du
ğilaptin  GI-Lap-'tIn
çiqqanğa  tSIq-qan-'Ga
cinayetni  dZI-na-jet-'nI
xéşi  x@-'SI
motosikilit  mo-to-sI-kI-'LIt
yaşlirimni  jaS-LI-rIm-'nI
ülgürelmey  yL-gy-reL-'mej
xéşiniñ  x@-SI-'nIN
dadamni  da-dam-'nI
déginini  d@-gI-nI-'nI
köridiğanliqiğa  k@'-rI-dI-Gan-LI-qI-'Ga
küşkürtişi  kyS-kyr-tI-'SI
omumi  o-mu-'mI
birimizniñ  bI-rI-mIz-'nIN
ustixinini  us-tI-xI-nI-'nI
ğacilaydiğan  Ga-dZI-Laj-dI-'Gan
basquçni  bas-qutS-'nI
circitlar  dZIr-dZIt-'Lar
qazanğanidi  qa-zan-Ga-nI-'dI
qamal  qa-'maL
yasiyalaydiğan  ja-sI-ja-Laj-dI-'Gan
bilidiğanlarnimu  bI-LI-dI-Gan-Lar-nI-'mu
közqarişi  k@'z-qa-rI-'SI
közqarişini  k@'z-qa-rI-SI-'nI
ilgirileşni  IL-gI-rI-LeS-'nI
ğerbtin  GerbtIn
heqiqitini  he-qI-qI-tI-'nI
izdeydiğan  Iz-dej-dI-'Gan
ziyaliyliri  zI-ja-LIj-LI-'rI
ettigende  et-tI-gen-'de
ozuqliniş  o-zuq-LI-'nIS
toyup  to-'jup
yepla  jep-'La
yétivalmasliq  j@-tI-vaL-mas-'LIq
herket  her-'ket
sétiviliş  s@-tI-vI-'LIS
şikispirniñ  SI-kIs-pIr-'nIN
diramisidiki  dI-ra-mI-sI-dI-'kI
hamlitqa  ham-LIt-'qa
avaziñizni  a-va-zI-NIz-'nI
hamlitniñ  ham-LIt-'nIN
kéçişmu  k@-tSIS-'mu
monologini  mo-no-Lo-gI-'nI
imaus  I-ma-'us
oralini  o-ra-LI-'nI
bölinidu  b@'-LI-nI-'du
skif  skIf
şerqini  Ser-qI-'nI
xotek  xo-'tek
paxpaq  pax-'paq
pitkağa  pIt-ka-'Ga
teqsimlep  teq-sIm-'Lep
ninka  nIn-'ka
dégtyardiki  d@gtjardIkI
sütidin  sy-tI-'dIn
yutum  ju-'tum
baqqini  baq-qI-'nI
nersilernila  ner-sI-Ler-nI-'La
yeytti  jejt-'tI
ilkidiki  IL-kI-dI-'kI
tüzimini  ty-zI-mI-'nI
prinsipiğa  prIn-sI-pI-'Ga
qarayimlar  qa-ra-jIm-'Lar
xelqlerdin  xeLqLerdIn
ukrainiyiniñ  uk-ra-I-nI-jI--'jInIN
melumatliriğa  me-Lu-mat-LI-rI-'Ga
qirimdiki  qI-rIm-dI-'kI
teşkilini  teS-kI-LI-'nI
bölümge  b@'-Lym-'ge
ayriğan  aj-rI-'Gan
turuşqa  tu-ruS-'qa
endizisi  en-dI-zI-'sI
tallaşni  taL-LaS-'nI
tötliklerni  t@'t-LIk-Ler-'nI
hésapqa  h@-sap-'qa
mesnivi  mes-nI-'vI
ikkilik  Ik-kI-'LIk
vezniniñ  vez-nI-'nIN
mutaqarip  mu-ta-qa-'rIp
behride  beh-rI-'de
lérikiniñ  L@-rI-kI-'nIN
musemmeni  mu-sem-me-'nI
salim  sa-'LIm
yeneulun  je-ne-u-'Lun
edip  e-'dIp
şairliriniñ  Sa-Ir-LI-rI-'nIN
muveppeqiyetliri  mu-vep-pe-qI-jet-LI-'rI
yurgüzgenler  jur-gyz-gen-'Ler
sahesidin  sa-he-sI-'dIn
yilçe  jIL-'tSe
şéiriyitiniñ  S@-I-rI-jI-tI-'nIN
ediplerni  e-dIp-Ler-'nI
çarçidi  tSar-tSI-'dI
xuñpu  xuN-'pu
çéliqti  tS@-LIq-'tI
paraxottin  pa-ra-xot-'tIn
mañğuzup  maN-Gu-'zup
qiliverdi  qI-LI-ver-'dI
kiriminiñ  kI-rI-mI-'nIN
amallarni  a-maL-Lar-'nI
